epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,3092.45,0.61946,0.41651,1.00388,0.9501,0.89886,0.95949,0.87662,0.39246,0.39771,0.91549,0.0004951,0.0004951,0.0004951
104,3118.44,0.6042,0.41096,0.98958,0.94463,0.87554,0.95363,0.87807,0.36226,0.42116,0.90163,0.00049015,0.00049015,0.00049015
105,3136.54,0.59245,0.40366,0.99353,0.96257,0.88292,0.96061,0.87804,0.39057,0.40057,0.9161,0.0004852,0.0004852,0.0004852
106,3166.79,0.5938,0.3987,0.98739,0.98116,0.89383,0.95067,0.86752,0.39694,0.39946,0.92862,0.00048025,0.00048025,0.00048025
107,3197.03,0.61301,0.41388,1.01332,0.91021,0.91367,0.95811,0.86994,0.40125,0.4025,0.92592,0.0004753,0.0004753,0.0004753
108,3227.27,0.59749,0.40805,0.99005,0.95722,0.90129,0.96383,0.88628,0.37902,0.40645,0.91578,0.00047035,0.00047035,0.00047035
109,3257.51,0.59051,0.3935,0.98532,0.98074,0.90558,0.96514,0.89882,0.37793,0.3877,0.93487,0.0004654,0.0004654,0.0004654
110,3287.73,0.5865,0.39157,0.98367,0.95484,0.90558,0.94509,0.86989,0.42058,0.4483,0.93653,0.00046045,0.00046045,0.00046045
111,3317.95,0.59307,0.39614,0.99248,0.95396,0.88934,0.95235,0.87861,0.39963,0.42064,0.93575,0.0004555,0.0004555,0.0004555
112,3348.2,0.59593,0.38918,0.98812,0.95944,0.91376,0.96502,0.87634,0.43109,0.40627,0.9602,0.00045055,0.00045055,0.00045055
113,3378.43,0.58394,0.38735,0.98795,0.95909,0.91416,0.95279,0.88156,0.35917,0.37276,0.91265,0.0004456,0.0004456,0.0004456
114,3408.65,0.58346,0.38826,0.98475,0.96557,0.897,0.95841,0.88881,0.35945,0.41585,0.90052,0.00044065,0.00044065,0.00044065
115,3438.88,0.59025,0.39478,0.97979,0.99023,0.87041,0.96453,0.88187,0.38132,0.37368,0.89336,0.0004357,0.0004357,0.0004357
116,3469.11,0.57621,0.38547,0.97255,0.97641,0.88815,0.9651,0.89169,0.35725,0.37811,0.8965,0.00043075,0.00043075,0.00043075
117,3499.33,0.59669,0.38783,0.98335,0.96313,0.89682,0.961,0.88881,0.35461,0.38676,0.90882,0.0004258,0.0004258,0.0004258
118,3529.58,0.57576,0.38469,0.9734,0.95784,0.91416,0.96047,0.88837,0.36766,0.37659,0.91179,0.00042085,0.00042085,0.00042085
119,3559.83,0.59939,0.39352,0.99027,0.96607,0.86695,0.95729,0.88371,0.37987,0.41554,0.92778,0.0004159,0.0004159,0.0004159
120,3590.07,0.55489,0.36895,0.96898,0.93622,0.8927,0.95696,0.87115,0.38519,0.40116,0.9068,0.00041095,0.00041095,0.00041095
121,3620.3,0.57129,0.37317,0.97806,0.9726,0.87983,0.96382,0.8974,0.33919,0.35831,0.89356,0.000406,0.000406,0.000406
122,3650.54,0.56471,0.37145,0.97439,0.97832,0.87124,0.95086,0.8864,0.35732,0.38736,0.91256,0.00040105,0.00040105,0.00040105
123,3680.78,0.59097,0.37815,0.98157,0.96677,0.88841,0.95891,0.89575,0.33359,0.36434,0.88614,0.0003961,0.0003961,0.0003961
124,3711.03,0.58951,0.38502,0.97436,0.91311,0.91416,0.96446,0.89973,0.33947,0.34739,0.89193,0.00039115,0.00039115,0.00039115
125,3741.25,0.56812,0.36552,0.97152,0.93651,0.88624,0.95547,0.89499,0.33,0.37949,0.89219,0.0003862,0.0003862,0.0003862
126,3771.48,0.56514,0.36363,0.96639,0.95905,0.87983,0.95198,0.87985,0.34293,0.42897,0.89626,0.00038125,0.00038125,0.00038125
127,3801.73,0.55396,0.35631,0.96748,0.95611,0.87124,0.95691,0.89237,0.34498,0.36798,0.89703,0.0003763,0.0003763,0.0003763
128,3831.97,0.55384,0.35426,0.96744,0.97602,0.87355,0.96356,0.90192,0.37889,0.36982,0.91135,0.00037135,0.00037135,0.00037135
129,3862.24,0.5624,0.36729,0.96596,0.94282,0.91991,0.94575,0.89467,0.33972,0.36673,0.9025,0.0003664,0.0003664,0.0003664
130,3892.43,0.562,0.35242,0.96197,0.96713,0.8839,0.95719,0.89103,0.34529,0.35542,0.90171,0.00036145,0.00036145,0.00036145
131,3922.66,0.55556,0.35952,0.95906,0.96955,0.8927,0.94276,0.8835,0.33499,0.4005,0.88951,0.0003565,0.0003565,0.0003565
132,3952.88,0.54642,0.35215,0.96528,0.94124,0.89381,0.9533,0.89815,0.35139,0.373,0.88544,0.00035155,0.00035155,0.00035155
133,3983.12,0.54228,0.35789,0.96534,0.97195,0.8923,0.96213,0.89266,0.34762,0.33704,0.89221,0.0003466,0.0003466,0.0003466
134,4013.34,0.52741,0.34257,0.94609,0.96671,0.87231,0.95379,0.88919,0.33215,0.35046,0.88389,0.00034165,0.00034165,0.00034165
135,4043.54,0.5465,0.35222,0.96738,0.98581,0.89421,0.95118,0.89499,0.32528,0.36451,0.88822,0.0003367,0.0003367,0.0003367
136,4073.8,0.54263,0.34765,0.95724,0.94996,0.89625,0.94821,0.8905,0.33916,0.36467,0.89027,0.00033175,0.00033175,0.00033175
137,4104.04,0.52792,0.34256,0.94642,0.97434,0.8927,0.95794,0.89067,0.33742,0.33718,0.88723,0.0003268,0.0003268,0.0003268
138,4134.24,0.52901,0.34338,0.94817,0.96899,0.88412,0.94502,0.88219,0.34197,0.3851,0.8942,0.00032185,0.00032185,0.00032185
139,4164.46,0.52097,0.33495,0.94612,0.96484,0.87124,0.9476,0.89212,0.31206,0.39214,0.88118,0.0003169,0.0003169,0.0003169
140,4194.71,0.50966,0.33556,0.93608,0.95323,0.8747,0.94418,0.89262,0.3106,0.35696,0.88299,0.00031195,0.00031195,0.00031195
141,4224.91,0.51049,0.33006,0.93089,0.96542,0.87124,0.951,0.89621,0.3076,0.3484,0.86742,0.000307,0.000307,0.000307
142,4251.35,0.5113,0.32883,0.93594,0.97368,0.87983,0.96173,0.90871,0.30888,0.32811,0.87305,0.00030205,0.00030205,0.00030205
143,4272.2,0.50356,0.33075,0.93328,0.94238,0.88841,0.96087,0.90323,0.30508,0.32857,0.87385,0.0002971,0.0002971,0.0002971
144,4296.72,0.50952,0.32996,0.93496,0.94785,0.90129,0.96154,0.90616,0.28928,0.33574,0.8593,0.00029215,0.00029215,0.00029215
145,4321.61,0.50051,0.32655,0.92835,0.95023,0.90127,0.95783,0.90373,0.28955,0.36362,0.86891,0.0002872,0.0002872,0.0002872
146,4346.26,0.483,0.32063,0.92125,0.97073,0.90987,0.95573,0.9025,0.30687,0.35496,0.88034,0.00028225,0.00028225,0.00028225
147,4371.03,0.49222,0.31439,0.92964,0.94827,0.90558,0.95481,0.89815,0.29801,0.34799,0.86646,0.0002773,0.0002773,0.0002773
148,4395.92,0.49374,0.31529,0.92038,0.94166,0.90055,0.95592,0.90082,0.29193,0.36464,0.86281,0.00027235,0.00027235,0.00027235
149,4420.68,0.48452,0.31234,0.91943,0.94226,0.91044,0.96416,0.90157,0.31726,0.37171,0.87927,0.0002674,0.0002674,0.0002674
150,4445.44,0.49515,0.31682,0.91984,0.93325,0.90014,0.953,0.89639,0.2982,0.38108,0.86876,0.00026245,0.00026245,0.00026245
151,4470.31,0.47954,0.3176,0.92204,0.9339,0.8927,0.94972,0.89277,0.31978,0.40831,0.87934,0.0002575,0.0002575,0.0002575
